prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_amount_-2_to_2,motion_naturalness_-2_to_2,late_motion_stability_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",0,p12_82094b8138.mp4,,,,,,,,
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",1,p12_534bb5a9f3.mp4,,,,,,,,
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",2,p12_fb051f4681.mp4,,,,,,,,
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",0,p03_950c89daa3.mp4,,,,,,,,
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",1,p03_bcabaa92cc.mp4,,,,,,,,
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",2,p03_6e882f6a2e.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",0,p06_bbfcbbb9eb.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",1,p06_585d78508e.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",2,p06_25934645d3.mp4,,,,,,,,
8,33,human_motion|running|cinematic|step_printing,"A cinematic 35mm film captures a dynamic step-printing scene of a young man with short, tousled brown hair and determined eyes sprinting down a city street lined with tall buildings and neon signs. His arms pump vigorously as he runs, looking focused and energetic. The background features blurred motion with the cityscape fading into a soft, sepia tone. The camera follows him closely, capturing every stride and movement. A nostalgic and vintage film texture enhances the dramatic intensity. Close-up shot from a slightly behind-the-subject angle.",0,p08_63758765ab.mp4,,,,,,,,
8,33,human_motion|running|cinematic|step_printing,"A cinematic 35mm film captures a dynamic step-printing scene of a young man with short, tousled brown hair and determined eyes sprinting down a city street lined with tall buildings and neon signs. His arms pump vigorously as he runs, looking focused and energetic. The background features blurred motion with the cityscape fading into a soft, sepia tone. The camera follows him closely, capturing every stride and movement. A nostalgic and vintage film texture enhances the dramatic intensity. Close-up shot from a slightly behind-the-subject angle.",1,p08_5aa647f883.mp4,,,,,,,,
8,33,human_motion|running|cinematic|step_printing,"A cinematic 35mm film captures a dynamic step-printing scene of a young man with short, tousled brown hair and determined eyes sprinting down a city street lined with tall buildings and neon signs. His arms pump vigorously as he runs, looking focused and energetic. The background features blurred motion with the cityscape fading into a soft, sepia tone. The camera follows him closely, capturing every stride and movement. A nostalgic and vintage film texture enhances the dramatic intensity. Close-up shot from a slightly behind-the-subject angle.",2,p08_c43fbc52f9.mp4,,,,,,,,
