prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_amount_-2_to_2,motion_naturalness_-2_to_2,late_motion_stability_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",0,p13_923eb3813b.mp4,0.8,-1,0,-1,-1,-0.8,1,
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",1,p13_696113a3ce.mp4,0.8,-1,0,-1,-1,-1,1,
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",2,p13_108f6be60e.mp4,0.5,-1,0,-1,-1,-1,1,门反复出现，整体存在跳变，瀑布作为主体也有变化
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",0,p03_3ef2a5ab2a.mp4,1,1,1,1,1,0.5,0,船上的人数存在改变，剑也会变长变短或者直接消失，此外右侧的船还存在一些穿模
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",1,p03_f56acf71c9.mp4,1,0.5,1,1,0.8,0.3,0,除了其他视频都有的问题外，后期还存在背景轻微色差的情况
3,7,multi_object|miniature_scale|water_motion|photorealistic,"A photorealistic closeup video of two intricately detailed pirate ships battling inside a steaming cup of coffee. Wooden planks, flapping sails, and aimed cannons are visible. Crew members, in authentic pirate attire, brandish swords and pistols with fierce, determined expressions. Coffee foam creates a turbulent, frothy sea with realistic ripples and waves. The background shows a blurred, warm brown coffee surface with gentle steam rising. The camera angle is slightly elevated, capturing the intense action from above.",2,p03_fa9ab865c4.mp4,0.8,0.8,1,1,0.8,0.3,0,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",0,p06_14b92e0516.mp4,0.8,1,0.6,1,0.8,0.3,0,车身从背后视图变为侧视图，且向右移动出画面。在9s左右有一段看上去静止的时间，之后开始不符合物理逻辑地反向行驶
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",1,p06_a10aa6ead8.mp4,1,1,0.6,1,0.8,0.3,0,除了id一直在画内以外其他部分相同
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",2,p06_f30e5efcad.mp4,1,1,0.6,1,0.8,0.3,0,id不仅侧身，而且掉头了并往回开。逻辑上稍微好一些，但是其实也有问题
15,124,transformation|animal_identity|lightning|scene_event,"A dramatic and surreal scene in the style of a fantasy comic: a lightning bolt strikes a turtle in a tranquil lake, instantly transforming it into a fierce alligator. The alligator, with a longer snout and sharper teeth, stands in the water, its body contorted from the shock. The lake background shows ripples and splashes, with water reflecting the stormy sky. The alligator's wide-eyed surprise and tiny scales are visible. Intense lighting with flashes of lightning illuminates the scene. A dynamic close-up from a slightly elevated angle captures the transformation and the alligator's immediate reaction.",0,p15_ea11319a6d.mp4,0.5,0.8,0,0,0,0,0,前几秒id存在跳变，之后几乎静止。整体id一般，背景存在略微退化
15,124,transformation|animal_identity|lightning|scene_event,"A dramatic and surreal scene in the style of a fantasy comic: a lightning bolt strikes a turtle in a tranquil lake, instantly transforming it into a fierce alligator. The alligator, with a longer snout and sharper teeth, stands in the water, its body contorted from the shock. The lake background shows ripples and splashes, with water reflecting the stormy sky. The alligator's wide-eyed surprise and tiny scales are visible. Intense lighting with flashes of lightning illuminates the scene. A dynamic close-up from a slightly elevated angle captures the transformation and the alligator's immediate reaction.",1,p15_4cff066199.mp4,0.5,0.8,0,0,0,0,0,前几秒id存在跳变，之后几乎静止。整体id一般，背景存在略微退化
15,124,transformation|animal_identity|lightning|scene_event,"A dramatic and surreal scene in the style of a fantasy comic: a lightning bolt strikes a turtle in a tranquil lake, instantly transforming it into a fierce alligator. The alligator, with a longer snout and sharper teeth, stands in the water, its body contorted from the shock. The lake background shows ripples and splashes, with water reflecting the stormy sky. The alligator's wide-eyed surprise and tiny scales are visible. Intense lighting with flashes of lightning illuminates the scene. A dynamic close-up from a slightly elevated angle captures the transformation and the alligator's immediate reaction.",2,p15_733d68657c.mp4,0.5,0.8,0,0,0,0,0,前几秒id存在跳变，之后几乎静止。整体id一般，背景存在略微退化
