prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_amount_-2_to_2,motion_naturalness_-2_to_2,late_motion_stability_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",0,p13_c206e02f89.mp4,,,,,,,,
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",1,p13_92822c526a.mp4,,,,,,,,
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",2,p13_76b24c47e7.mp4,,,,,,,,
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",0,p07_7ed9a75412.mp4,,,,,,,,
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",1,p07_ea65374997.mp4,,,,,,,,
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",2,p07_b0fbc87f7e.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",0,p06_f5427c3b6d.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",1,p06_3dbbe9d05f.mp4,,,,,,,,
6,17,vehicle|fast_motion|dust|tracking_camera,"A dynamic shot from behind a white vintage SUV with a black roof rack as it speeds up a steep dirt road surrounded by towering redwood trees on a rugged mountain slope. Dust kicks up from its tires, and the sunlight shines on the SUV, casting a warm glow. The dirt road curves gently into the distance, with dense redwoods on either side and patches of greenery. The car navigates the curve with ease, making it seem thrilling. The road is framed by steep hills and mountains, with a clear blue sky and wispy clouds. The camera captures the vehicle’s powerful and adventurous journey.",2,p06_4b0d79391d.mp4,,,,,,,,
4,13,multi_person|mobile_video|urban|documentary,"A beautifully crafted homemade video set in Lagos, Nigeria in 2056, captured with a mobile phone camera. The footage showcases diverse people going about their daily lives in a vibrant and bustling urban environment. Young Nigerian women in colorful traditional attire walk down a crowded street, a man in a smart business suit hurries past a futuristic billboard, and a family gathers around a street vendor selling fresh fruits. Modern skyscrapers, traditional market stalls, and electric vehicles zip by in the background. The video has a warm, nostalgic feel with occasional blurs and graininess. Handheld shots and close-ups capture the dynamic energy of the city.",0,p04_6dc1337ad8.mp4,,,,,,,,
4,13,multi_person|mobile_video|urban|documentary,"A beautifully crafted homemade video set in Lagos, Nigeria in 2056, captured with a mobile phone camera. The footage showcases diverse people going about their daily lives in a vibrant and bustling urban environment. Young Nigerian women in colorful traditional attire walk down a crowded street, a man in a smart business suit hurries past a futuristic billboard, and a family gathers around a street vendor selling fresh fruits. Modern skyscrapers, traditional market stalls, and electric vehicles zip by in the background. The video has a warm, nostalgic feel with occasional blurs and graininess. Handheld shots and close-ups capture the dynamic energy of the city.",1,p04_09e4e9c9dc.mp4,,,,,,,,
4,13,multi_person|mobile_video|urban|documentary,"A beautifully crafted homemade video set in Lagos, Nigeria in 2056, captured with a mobile phone camera. The footage showcases diverse people going about their daily lives in a vibrant and bustling urban environment. Young Nigerian women in colorful traditional attire walk down a crowded street, a man in a smart business suit hurries past a futuristic billboard, and a family gathers around a street vendor selling fresh fruits. Modern skyscrapers, traditional market stalls, and electric vehicles zip by in the background. The video has a warm, nostalgic feel with occasional blurs and graininess. Handheld shots and close-ups capture the dynamic energy of the city.",2,p04_887e0330a6.mp4,,,,,,,,
