prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_quality_-2_to_2,artifact_free_-2_to_2,late_stability_-2_to_2,prompt_fidelity_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",0,p00_148e9d8edd.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",1,p00_07236d6658.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",2,p00_7e20b92d42.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",3,p00_80590bccc6.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",4,p00_48497e4980.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",5,p00_c2b5e02e4d.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",6,p00_4f2b346783.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",0,p01_ff2dbd5cf2.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",1,p01_092ab285fd.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",2,p01_18930fbba3.mp4,,,,,,,,,
