prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_quality_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",0,p00_f6889c349e.mp4,1.5,0.5,0,0.5,0,id保持中等，存在id变大和运动小的情况
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",1,p00_83e3ece4ae.mp4,-1,1,-2,-1,1,后期运动太小几乎静止，且出现id变大的情况
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",2,p00_705d0fcee5.mp4,0,1,-1,0,1,id变化明显且后期也有变大，运动也很小
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",3,p00_f26b109442.mp4,2,1,0,1,0,id保持可以，但是id存在变大的情况，运动也稍微有一丢丢小
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",0,p01_ed131330be.mp4,1,1,1,0.5,0,最开始的id漂移出了画面，最后完全出画但是之后又进来了。此外有几个id反向进入画面，但是最初id和新进入id基本就没有运动
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",1,p01_ac72753550.mp4,0,1,0,0,0,最开始的id漂移出了画面，最后保留了一半在画内一半在画外。此外有一个id反向进入画面，但是最初id和新进入id基本就没有运动
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",2,p01_0b629a728a.mp4,1,1,1,0.5,0,最开始的id漂移出了画面，最后保留了一半在画内一半在画外。此外后续出现很多新的id进入画面，新id的运动还是可以的，但是最初id在一半身体出画之后基本就没有运动
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",3,p01_86b871ed63.mp4,0,1,0,0,0,最初的id一直往画外漂移，最后有一个主体的id的头部变得很大，已经有点不像原始id了。此外背景中出现了很多新的主体，整体运动也不大，主要是镜头移动
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",0,p02_70706e16f9.mp4,2,2,1,1,0,id和背景保持很好，但是可能因为prompt本身运动较小，导致只有嘴巴和眼睛的少量移动
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",1,p02_1596a240f7.mp4,2,2,1,1,0,id和背景保持很好，但是可能因为prompt本身运动较小，导致只有嘴巴和眼睛的少量移动
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",2,p02_e7a17ffe65.mp4,2,2,1,1,0,id和背景保持很好，但是可能因为prompt本身运动较小，导致只有嘴巴和眼睛的少量移动
