prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_amount_-2_to_2,motion_naturalness_-2_to_2,late_motion_stability_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",0,p12_8a8331a0f1.mp4,2,2,1,1,1,1,0,prompt的原因导致主体是红色气球，id保持很好，运动主要来自镜头运动，最后出现镜头旋转。背景一直变化但是符合逻辑
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",1,p12_d9b979b866.mp4,1.5,1.8,1,1,0.8,0.6,0,
12,75,object_identity|tracking_camera|long_motion|abandoned_street,"A handheld tracking shot follows a red balloon floating gracefully above an abandoned street. The bright red balloon contrasts sharply against the decaying urban backdrop, with debris, graffiti-covered walls, and broken windows. Sunlight filters through gaps, casting shadows. The camera moves fluidly, capturing the balloon's gentle ascent and descent, emphasizing its playful motion. Close-ups transition to wide shots, showcasing the desolate environment.",2,p12_199e00281f.mp4,1,1,1,1,0.5,0.3,0,出现少量形状变化，背景变化符合一定的逻辑但是没有其他的好
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",0,p07_c16c787987.mp4,0,0.5,1,0,1,0,1,出现了反折等情况
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",1,p07_33d8dc7d13.mp4,1,0.5,1,0.8,1,0.5,0,出现了4脚变两脚的情况，背景一直变化但总体符合逻辑，但是背景中人物太多导致难免出现幻觉.最后背景几乎不改变
7,24,articulated_motion|festival|crowd|colorful,"A vibrant and lively Chinese Lunar New Year celebration video featuring a majestic Chinese dragon performing traditional dance moves. The dragon, made of colorful silk and adorned with intricate patterns, has flowing scales and a fierce expression, moving gracefully with fluid movements. It dances amidst a sea of joyful people in festive red and gold attire, accompanied by drummers and musicians playing traditional instruments. The background showcases bustling streets filled with lanterns, paper decorations, and colorful stalls. The video has a dynamic and energetic feel, capturing the essence of the festival. A wide-angle shot with dynamic camera movements following the dragon's path, capturing its powerful leaps and graceful turns.",2,p07_bfc955f4e0.mp4,1.5,1,1,1,1,1,0,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",0,p01_6fc449d0e4.mp4,0,1,0.5,0.5,0,0,0,id向右漂移移出画面，有一个id保持在画面内直到最后，但是几乎完全静止。视频后期出现很多新id从左侧进入
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",1,p01_7dc66a1a38.mp4,-0.5,1,0.5,0.5,0,0,0,id全部向右漂移出画面，中间时间从左侧出现新id进入画面，但新id显著变大，明显有退化
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",2,p01_ab79491fdd.mp4,-1,1,0.5,0,0,0,1,id全部向右漂移出画面，后续新进入的id显著与之前不同
10,61,child_identity|bicycle|season_change|scene_evolution,"A dynamic series of shots capturing a little boy with curly brown hair and a joyful smile riding his bike through a garden that transitions through the changing seasons. Fall leaves crunch underfoot, winter snow blankets the ground, spring flowers bloom, and summer sunshine sparkles through the foliage. The boy pedals energetically, his arms outstretched in excitement. Wide shots show him entering the garden in spring, biking through colorful autumn leaves, riding through a snowy path, and enjoying warm summer sun. Mid-shots and close-ups capture his natural movements and the vibrant colors. Natural, documentary style.",0,p10_106c590d72.mp4,1,1,1,1,0.5,0.5,0,开始几秒人物迅速接近镜头，从正脸转向右侧脸，之后一直是侧脸，知道最后几秒人物骑行转向，经过正脸变为左侧脸
10,61,child_identity|bicycle|season_change|scene_evolution,"A dynamic series of shots capturing a little boy with curly brown hair and a joyful smile riding his bike through a garden that transitions through the changing seasons. Fall leaves crunch underfoot, winter snow blankets the ground, spring flowers bloom, and summer sunshine sparkles through the foliage. The boy pedals energetically, his arms outstretched in excitement. Wide shots show him entering the garden in spring, biking through colorful autumn leaves, riding through a snowy path, and enjoying warm summer sun. Mid-shots and close-ups capture his natural movements and the vibrant colors. Natural, documentary style.",1,p10_a66f4f271a.mp4,1,0.5,1,1,0.5,0.5,0,相比106c，右侧脸时间更短，然后转为正脸与侧脸的边界，最后几秒也出现了转向，此外背景变化看上去像是旋转
10,61,child_identity|bicycle|season_change|scene_evolution,"A dynamic series of shots capturing a little boy with curly brown hair and a joyful smile riding his bike through a garden that transitions through the changing seasons. Fall leaves crunch underfoot, winter snow blankets the ground, spring flowers bloom, and summer sunshine sparkles through the foliage. The boy pedals energetically, his arms outstretched in excitement. Wide shots show him entering the garden in spring, biking through colorful autumn leaves, riding through a snowy path, and enjoying warm summer sun. Mid-shots and close-ups capture his natural movements and the vibrant colors. Natural, documentary style.",2,p10_cbd498fcf9.mp4,1,1,1,0.5,0.5,0.5,0,一直都是右侧脸，有轻微的id变化
