prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_quality_-2_to_2,artifact_free_-2_to_2,late_stability_-2_to_2,prompt_fidelity_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",0,p00_cfbb5957c3.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",1,p00_b0e804b336.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",2,p00_470aaef323.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",3,p00_7492c6b232.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",4,p00_24c5fef4b4.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",5,p00_74fd86e2e8.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",6,p00_48ee59c663.mp4,,,,,,,,,
0,0,human_identity|walking|crowd|night_city,"A stylish woman strolls down a bustling Tokyo street, her sleek black leather jacket and flowing red dress swaying with each step. Neon lights and animated city signs cast vibrant reflections, enhancing the colorful scene. She carries a black purse over her shoulder, sunglasses perched on her nose, and wears bold red lipstick, exuding confidence. The damp, reflective street creates a mirror-like effect, emphasizing the colorful lights and shadows. Pedestrians move about, adding to the lively atmosphere. Captured in a dynamic medium shot, she walks slightly to one side, showcasing her graceful strides.",7,p00_2aa140b640.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",0,p01_93179ebbe6.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",1,p01_1b06c12c8f.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",2,p01_bd35c57528.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",3,p01_0dbd30a819.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",4,p01_6ee32c268d.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",5,p01_fb44f50e73.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",6,p01_b13d23e08d.mp4,,,,,,,,,
1,1,multi_subject|animal|snow|camera_depth,"A stunning mid-afternoon landscape with a low camera angle, showcasing several giant wooly mammoths treading through a snowy meadow. Their long, wooly fur gently billows as they move, creating natural movement. Snow-covered trees and dramatic snow-capped mountains loom in the distance. Wispy clouds and a high sun cast a warm glow, enhancing the serene and awe-inspiring atmosphere. The depth of field brings out detailed textures, capturing every nuance of these prehistoric giants in breathtaking clarity.",7,p01_6ab0cffbb8.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",0,p02_7aae5f7da3.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",1,p02_1a8fc0217d.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",2,p02_da7aa17c7a.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",3,p02_a6d2d545ba.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",4,p02_a412741f76.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",5,p02_d0bb9fe078.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",6,p02_056abdf88a.mp4,,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",7,p02_73da86b36c.mp4,,,,,,,,,
