prompt_index,source_prompt_index,tags,prompt_text,slot,video,identity_continuity_-2_to_2,background_continuity_-2_to_2,motion_amount_-2_to_2,motion_naturalness_-2_to_2,late_motion_stability_-2_to_2,overall_preference_-2_to_2,severe_failure_0_or_1,notes
14,109,human_identity|anime|ship|camera_facing,"A Japanese animated film-style scene showing a young woman standing on a ship, looking back at the camera with a gentle smile. She has long black hair tied in a loose ponytail and wears a traditional Japanese kimono with intricate patterns and vibrant colors. Her expression is serene and slightly contemplative. The ship is mid-ocean, with waves gently lapping against the sides, and the background shows a vast blue sea with distant clouds and a setting sun. The scene has a soft, dreamy quality, capturing the tranquility of the moment. A medium shot from a slightly elevated angle, emphasizing her graceful posture and the serene ocean backdrop. She gently rocks back and forth, her kimono flowing gracefully with the movement.",0,p14_022d6c853e.mp4,,,,,,,,
14,109,human_identity|anime|ship|camera_facing,"A Japanese animated film-style scene showing a young woman standing on a ship, looking back at the camera with a gentle smile. She has long black hair tied in a loose ponytail and wears a traditional Japanese kimono with intricate patterns and vibrant colors. Her expression is serene and slightly contemplative. The ship is mid-ocean, with waves gently lapping against the sides, and the background shows a vast blue sea with distant clouds and a setting sun. The scene has a soft, dreamy quality, capturing the tranquility of the moment. A medium shot from a slightly elevated angle, emphasizing her graceful posture and the serene ocean backdrop. She gently rocks back and forth, her kimono flowing gracefully with the movement.",1,p14_da82a651ca.mp4,,,,,,,,
14,109,human_identity|anime|ship|camera_facing,"A Japanese animated film-style scene showing a young woman standing on a ship, looking back at the camera with a gentle smile. She has long black hair tied in a loose ponytail and wears a traditional Japanese kimono with intricate patterns and vibrant colors. Her expression is serene and slightly contemplative. The ship is mid-ocean, with waves gently lapping against the sides, and the background shows a vast blue sea with distant clouds and a setting sun. The scene has a soft, dreamy quality, capturing the tranquility of the moment. A medium shot from a slightly elevated angle, emphasizing her graceful posture and the serene ocean backdrop. She gently rocks back and forth, her kimono flowing gracefully with the movement.",2,p14_367c6e59fc.mp4,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",0,p02_87d63c4011.mp4,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",1,p02_079f8ff0d0.mp4,,,,,,,,
2,4,3d_animation|character_identity|object_interaction|fire,"A close-up 3D animated scene of a short, fluffy monster kneeling beside a melting red candle. The monster has large, wide eyes and an open mouth, gazing at the flame with wonder and curiosity. Its soft, fluffy fur contrasts with the warm, dramatic lighting that highlights its gentle, innocent expression. The pose conveys playfulness and exploration, as if discovering the world for the first time. In the background, a cozy, warmly lit room with a fireplace and soft furnishings enhances the atmosphere. Warm colors and dramatic lighting create a captivating and inviting scene.",2,p02_b769665e12.mp4,,,,,,,,
9,47,two_subjects|animal_identity|running|neon_city,"A vibrant and dynamic illustration in the style of a futuristic sci-fi comic, depicting two playful dogs, a Samoyed and a Golden Retriever, running energetically through a neon-lit city at night. Their fur gleams under the vibrant glow, casting colorful reflections. The Samoyed has a fluffy white coat, while the Golden Retriever sports a golden one. Towering skyscrapers adorned with flickering neon signs create a mesmerizing backdrop. Blurred outlines of the city's architecture, with glowing streets and distant buildings, add to the scene. The camera captures a medium shot from a slightly elevated perspective, emphasizing their joyful movements and wagging tails.",0,p09_ad61d596a0.mp4,,,,,,,,
9,47,two_subjects|animal_identity|running|neon_city,"A vibrant and dynamic illustration in the style of a futuristic sci-fi comic, depicting two playful dogs, a Samoyed and a Golden Retriever, running energetically through a neon-lit city at night. Their fur gleams under the vibrant glow, casting colorful reflections. The Samoyed has a fluffy white coat, while the Golden Retriever sports a golden one. Towering skyscrapers adorned with flickering neon signs create a mesmerizing backdrop. Blurred outlines of the city's architecture, with glowing streets and distant buildings, add to the scene. The camera captures a medium shot from a slightly elevated perspective, emphasizing their joyful movements and wagging tails.",1,p09_1543364354.mp4,,,,,,,,
9,47,two_subjects|animal_identity|running|neon_city,"A vibrant and dynamic illustration in the style of a futuristic sci-fi comic, depicting two playful dogs, a Samoyed and a Golden Retriever, running energetically through a neon-lit city at night. Their fur gleams under the vibrant glow, casting colorful reflections. The Samoyed has a fluffy white coat, while the Golden Retriever sports a golden one. Towering skyscrapers adorned with flickering neon signs create a mesmerizing backdrop. Blurred outlines of the city's architecture, with glowing streets and distant buildings, add to the scene. The camera captures a medium shot from a slightly elevated perspective, emphasizing their joyful movements and wagging tails.",2,p09_f72710937c.mp4,,,,,,,,
13,84,fpv|scene_transition|rapid_camera|interior,"A surreal first-person POV shot rapidly flies through open doors, capturing the moment when the viewer suddenly finds themselves in a living room transformed into a dreamlike scene. At the center stands a breathtaking waterfall cascading down from the ceiling and walls, creating a mesmerizing mist. Floating plants and ethereal lights adorn the room, casting a soft, otherworldly glow. The camera angle shifts dynamically, adjusting to the surreal environment, providing an immersive experience.",0,p13_fbad5bf5e6.mp4,,,,,,,,
